threads,nx,nt,iters_cg,iters_newton,timespent
2,128,100,1512,300,0.167133
2,128,100,1512,300,0.158224
2,128,100,1512,300,0.16166
2,128,100,1512,300,0.159094
2,128,100,1512,300,0.139443
2,128,100,1512,300,0.138874
2,128,100,1512,300,0.137914
2,128,100,1512,300,0.138677
2,128,100,1512,300,0.13812
2,128,100,1512,300,0.137264
2,128,100,1512,300,0.138655
2,128,100,1512,300,0.101784
2,128,100,1512,300,0.128707
2,128,100,1512,300,0.128893
2,128,100,1512,300,0.137632
2,128,100,1512,300,0.113969
2,128,100,1512,300,0.128777
2,128,100,1512,300,0.138826
2,128,100,1512,300,0.138973
2,128,100,1512,300,0.104061
2,128,100,1512,300,0.138956
2,128,100,1512,300,0.103695
2,128,100,1512,300,0.138222
2,128,100,1512,300,0.137761
2,128,100,1512,300,0.13825
2,128,100,1512,300,0.136733
2,128,100,1512,300,0.103215
2,128,100,1512,300,0.102883
2,128,100,1512,300,0.138021
2,128,100,1512,300,0.138508
2,128,100,1512,300,0.138002
2,128,100,1512,300,0.138083
2,128,100,1512,300,0.139154
2,128,100,1512,300,0.139725
2,128,100,1512,300,0.141191
2,128,100,1512,300,0.137308
2,128,100,1512,300,0.102275
2,128,100,1512,300,0.139066
2,128,100,1512,300,0.102984
2,128,100,1512,300,0.139099
2,128,100,1512,300,0.138626
2,128,100,1512,300,0.139307
2,128,100,1512,300,0.137774
2,128,100,1512,300,0.136468
2,128,100,1512,300,0.138283
2,128,100,1512,300,0.102965
2,128,100,1512,300,0.136295
2,128,100,1512,300,0.136118
2,128,100,1512,300,0.135816
2,128,100,1512,300,0.13528
2,128,100,1512,300,0.138803
2,128,100,1512,300,0.136358
2,128,100,1512,300,0.136137
2,128,100,1512,300,0.137799
2,128,100,1512,300,0.138144
2,128,100,1512,300,0.13725
2,128,100,1512,300,0.102693
2,128,100,1512,300,0.136759
2,128,100,1512,300,0.135184
2,128,100,1512,300,0.12902
2,128,100,1512,300,0.133458
