nx,ny,ntasks,size,timespent,TasksDoneByWorker
4001,4001,50,8,2.236618564464152,[0 8 7 6 7 7 8 7]
4001,4001,50,8,2.353794147260487,[0 9 8 7 8 6 7 5]
4001,4001,50,8,2.2691706884652376,[0 8 6 8 7 8 7 6]
4001,4001,50,8,2.63487580511719,[0 7 6 8 8 5 9 7]
4001,4001,50,8,2.236658686771989,[0 7 8 7 7 6 7 8]
4001,4001,50,8,2.2488761004060507,[0 8 6 8 7 8 6 7]
4001,4001,50,8,2.2025204682722688,[0 6 8 7 8 7 6 8]
4001,4001,50,8,2.341700862161815,[0 7 6 8 7 8 8 6]
4001,4001,50,8,2.372180700302124,[0 8 6 6 8 8 6 8]
4001,4001,50,8,2.590436310507357,[0 6 7 8 8 8 5 8]
4001,4001,50,8,2.2984764836728573,[0 7 6 6 9 7 9 6]
4001,4001,50,8,2.251038519665599,[0 6 7 8 7 7 7 8]
4001,4001,50,8,2.3054251354187727,[0 7 6 8 9 7 6 7]
4001,4001,50,8,2.2377266865223646,[0 6 6 7 8 7 7 9]
4001,4001,50,8,2.330003193579614,[0 7 5 7 7 8 7 9]
4001,4001,50,8,2.2308885818347335,[0 7 6 7 8 8 6 8]
4001,4001,50,8,2.162966974079609,[0 7 8 8 7 6 7 7]
4001,4001,50,8,2.120734302327037,[0 8 6 7 8 6 8 7]
4001,4001,50,8,2.292642935179174,[0 8 6 8 8 6 6 8]
4001,4001,50,8,2.3240346079692245,[0 7 8 6 7 8 6 8]
4001,4001,50,8,2.2802098831161857,[0 7 6 7 7 8 7 8]
4001,4001,50,8,2.176112335175276,[0 7 6 8 8 7 7 7]
4001,4001,50,8,2.134054711088538,[0 8 7 8 6 8 5 8]
4001,4001,50,8,2.292943237349391,[0 9 6 7 8 5 6 9]
4001,4001,50,8,2.2529910234734416,[0 6 8 5 7 8 8 8]
4001,4001,50,8,2.338386941701174,[0 7 7 7 9 7 7 6]
4001,4001,50,8,2.2115015080198646,[0 5 8 8 7 8 8 6]
4001,4001,50,8,2.30029072239995,[0 8 8 9 7 6 6 6]
