threads,nx,nt,iters_cg,iters_newton,timespent
16,256,100,2786,300,0.141768
16,256,100,2786,300,0.143629
16,256,100,2786,300,0.143019
16,256,100,2786,300,0.137519
16,256,100,2786,300,0.141984
16,256,100,2786,300,0.156426
16,256,100,2786,300,0.142894
16,256,100,2786,300,0.150487
16,256,100,2786,300,0.14455
16,256,100,2786,300,0.140003
16,256,100,2786,300,0.141196
16,256,100,2786,300,0.14826
16,256,100,2786,300,0.143508
16,256,100,2786,300,0.147375
16,256,100,2786,300,0.139648
16,256,100,2786,300,0.143643
16,256,100,2786,300,0.148427
16,256,100,2786,300,0.140887
16,256,100,2786,300,0.141074
16,256,100,2786,300,0.147365
16,256,100,2786,300,0.145685
16,256,100,2786,300,0.142168
16,256,100,2786,300,0.140827
16,256,100,2786,300,0.14406
16,256,100,2786,300,0.142237
16,256,100,2786,300,0.136576
16,256,100,2786,300,0.141821
16,256,100,2786,300,0.149663
16,256,100,2786,300,0.145991
16,256,100,2786,300,0.131779
16,256,100,2786,300,0.144029
16,256,100,2786,300,0.139857
16,256,100,2786,300,0.143946
16,256,100,2786,300,0.144388
16,256,100,2786,300,0.141628
16,256,100,2786,300,0.153522
16,256,100,2786,300,0.13352
16,256,100,2786,300,0.143782
16,256,100,2786,300,0.132119
16,256,100,2786,300,0.146896
16,256,100,2786,300,0.151878
16,256,100,2786,300,0.130675
16,256,100,2786,300,0.139687
16,256,100,2786,300,0.144944
16,256,100,2786,300,0.145404
16,256,100,2786,300,0.146963
16,256,100,2786,300,0.14461
16,256,100,2786,300,0.132275
16,256,100,2786,300,0.143181
64,512,100,5362,301,0.276289
64,512,100,5362,301,115.913
64,512,100,5362,301,0.329776
64,512,100,5362,301,126.004
64,512,100,5362,301,1.96093
64,512,100,5362,301,6.47347
64,512,100,5362,301,0.334168
64,512,100,5362,301,27.4899
64,512,100,5362,301,0.365221
64,512,100,5362,301,1.08752
64,512,100,5362,301,9.59878
64,512,100,5362,301,3.97752
64,512,100,5362,301,0.36199
64,512,100,5362,301,68.2256
64,512,100,5362,301,0.362766
64,512,100,5362,301,6.53684
64,512,100,5362,301,176.767
64,512,100,5362,301,0.273711
64,512,100,5362,301,0.275519
64,512,100,5362,301,0.349759
64,512,100,5362,301,81.6089
64,512,100,5362,301,0.345717
64,512,100,5362,301,36.5413
64,512,100,5362,301,3.39759
64,512,100,5362,301,0.329684
64,512,100,5362,301,121.114
64,512,100,5362,301,42.5664
64,512,100,5362,301,16.8546
64,512,100,5362,301,6.76813
64,512,100,5362,301,0.260445
64,512,100,5362,301,0.270711
64,512,100,5362,301,37.4915
64,512,100,5362,301,20.5398
64,512,100,5362,301,143.951
64,512,100,5362,301,203.771
64,512,100,5362,301,0.362653
64,512,100,5362,301,45.1598
64,512,100,5362,301,14.1672
64,512,100,5362,301,0.268698
64,512,100,5362,301,0.264993
64,512,100,5362,301,17.9154
64,512,100,5362,301,173.918
64,512,100,5362,301,0.691983
64,512,100,5362,301,122.232
64,512,100,5362,301,14.1397
64,512,100,5362,301,103.514
64,512,100,5362,301,0.967805
64,512,100,5362,301,18.5355
64,512,100,5362,301,0.874139
64,512,100,5362,301,1.03103
1,128,100,1513,300,0.171743
1,128,100,1513,300,0.227947
1,128,100,1513,300,0.22821
1,128,100,1513,300,0.229473
1,128,100,1513,300,0.228362
1,128,100,1513,300,0.229634
1,128,100,1513,300,0.227583
1,128,100,1513,300,0.228152
1,128,100,1513,300,0.227579
1,128,100,1513,300,0.230905
1,128,100,1513,300,0.228216
1,128,100,1513,300,0.227667
1,128,100,1513,300,0.171296
1,128,100,1513,300,0.229478
1,128,100,1513,300,0.229562
1,128,100,1513,300,0.227435
1,128,100,1513,300,0.228508
1,128,100,1513,300,0.226548
1,128,100,1513,300,0.230263
1,128,100,1513,300,0.228971
1,128,100,1513,300,0.229431
1,128,100,1513,300,0.230688
1,128,100,1513,300,0.228928
1,128,100,1513,300,0.229244
1,128,100,1513,300,0.17229
1,128,100,1513,300,0.171917
1,128,100,1513,300,0.172004
1,128,100,1513,300,0.171982
1,128,100,1513,300,0.173005
1,128,100,1513,300,0.23015
1,128,100,1513,300,0.229377
1,128,100,1513,300,0.229367
1,128,100,1513,300,0.22928
1,128,100,1513,300,0.22723
1,128,100,1513,300,0.226682
1,128,100,1513,300,0.228946
1,128,100,1513,300,0.227795
1,128,100,1513,300,0.22844
1,128,100,1513,300,0.23023
1,128,100,1513,300,0.230896
1,128,100,1513,300,0.229647
1,128,100,1513,300,0.23016
1,128,100,1513,300,0.229105
1,128,100,1513,300,0.229897
1,128,100,1513,300,0.228448
1,128,100,1513,300,0.229847
1,128,100,1513,300,0.228373
1,128,100,1513,300,0.231164
1,128,100,1513,300,0.229914
1,128,100,1513,300,0.229374
4,256,100,2785,300,0.426271
4,256,100,2785,300,0.429157
4,256,100,2785,300,0.450483
4,256,100,2785,300,0.443665
4,256,100,2785,300,0.449085
4,256,100,2785,300,0.441855
4,256,100,2785,300,0.438163
4,256,100,2785,300,0.346646
4,256,100,2785,300,0.427558
4,256,100,2785,300,0.433122
4,256,100,2785,300,0.421716
4,256,100,2785,300,0.338827
4,256,100,2785,300,0.427767
4,256,100,2785,300,0.428981
4,256,100,2785,300,0.441782
4,256,100,2785,300,0.428935
4,256,100,2785,300,0.429868
4,256,100,2785,300,0.431901
4,256,100,2785,300,0.425093
4,256,100,2785,300,0.427212
4,256,100,2785,300,0.336596
4,256,100,2785,300,0.418405
4,256,100,2785,300,0.34262
4,256,100,2785,300,0.419487
4,256,100,2785,300,0.428761
4,256,100,2785,300,0.440312
4,256,100,2785,300,0.440267
4,256,100,2785,300,0.431303
4,256,100,2785,300,0.42394
4,256,100,2785,300,0.424749
4,256,100,2785,300,0.426925
4,256,100,2785,300,0.426991
4,256,100,2785,300,0.442226
4,256,100,2785,300,0.423479
4,256,100,2785,300,0.42492
4,256,100,2785,300,0.43018
4,256,100,2785,300,0.438939
4,256,100,2785,300,0.42471
4,256,100,2785,300,0.427453
4,256,100,2785,300,0.426802
4,256,100,2785,300,0.439702
4,256,100,2785,300,0.434614
4,256,100,2785,300,0.418027
4,256,100,2785,300,0.433832
4,256,100,2785,300,0.42391
4,256,100,2785,300,0.414662
4,256,100,2785,300,0.343105
4,256,100,2785,300,0.429586
4,256,100,2785,300,0.437532
4,256,100,2785,300,0.427531
16,512,100,5366,300,0.89358
16,512,100,5366,300,0.84512
16,512,100,5366,300,0.840632
16,512,100,5366,300,0.850104
16,512,100,5366,300,0.888525
16,512,100,5366,300,0.891198
16,512,100,5366,300,0.898065
16,512,100,5366,300,0.882244
16,512,100,5366,300,0.895439
16,512,100,5366,300,0.881289
16,512,100,5366,300,0.875432
16,512,100,5366,300,0.89032
16,512,100,5366,300,0.913178
16,512,100,5366,300,0.896118
16,512,100,5366,300,0.875036
16,512,100,5366,300,0.868979
16,512,100,5366,300,0.911482
16,512,100,5366,300,0.882646
16,512,100,5366,300,0.878728
16,512,100,5366,300,0.874291
16,512,100,5366,300,0.876691
16,512,100,5366,300,0.847951
16,512,100,5366,300,0.907292
16,512,100,5366,300,0.872507
16,512,100,5366,300,0.891912
16,512,100,5366,300,0.903638
16,512,100,5366,300,0.869225
16,512,100,5366,300,0.897584
16,512,100,5366,300,0.885564
16,512,100,5366,300,0.887892
16,512,100,5366,300,0.900672
16,512,100,5366,300,0.887882
16,512,100,5366,300,0.895306
16,512,100,5366,300,0.894185
16,512,100,5366,300,0.874003
16,512,100,5366,300,0.893955
16,512,100,5366,300,0.887556
