threads,nx,nt,iters_cg,iters_newton,timespent
0,128,100,1513,300,0.218414
0,128,100,1513,300,0.168945
0,128,100,1513,300,0.221412
0,128,100,1513,300,0.220055
0,128,100,1513,300,0.165851
0,128,100,1513,300,0.222604
0,128,100,1513,300,0.219166
0,128,100,1513,300,0.220616
0,128,100,1513,300,0.219064
0,128,100,1513,300,0.220518
0,128,100,1513,300,0.219357
0,128,100,1513,300,0.219825
0,128,100,1513,300,0.218981
0,128,100,1513,300,0.219117
0,128,100,1513,300,0.223099
0,128,100,1513,300,0.223409
0,128,100,1513,300,0.221487
0,128,100,1513,300,0.223275
0,128,100,1513,300,0.220552
0,128,100,1513,300,0.219072
0,128,100,1513,300,0.223871
0,128,100,1513,300,0.219915
0,128,100,1513,300,0.219878
0,128,100,1513,300,0.21917
0,128,100,1513,300,0.220286
0,128,100,1513,300,0.219103
0,128,100,1513,300,0.220528
0,128,100,1513,300,0.21942
0,128,100,1513,300,0.165803
0,128,100,1513,300,0.219335
0,256,100,2782,300,1.14606
0,256,100,2782,300,1.14237
0,256,100,2782,300,1.14318
0,256,100,2782,300,1.5234
0,256,100,2782,300,1.14182
0,256,100,2782,300,1.14473
0,256,100,2782,300,1.14484
0,256,100,2782,300,1.13661
0,256,100,2782,300,1.52735
0,256,100,2782,300,1.14253
0,256,100,2782,300,1.14099
0,256,100,2782,300,1.14118
0,256,100,2782,300,1.23538
0,256,100,2782,300,1.14205
0,256,100,2782,300,1.14567
0,256,100,2782,300,1.1452
0,256,100,2782,300,1.10917
0,256,100,2782,300,0.791476
0,256,100,2782,300,0.777037
0,256,100,2782,300,1.14956
0,256,100,2782,300,1.14078
0,256,100,2782,300,1.14488
0,256,100,2782,300,1.13693
0,256,100,2782,300,1.52152
0,256,100,2782,300,1.52249
0,256,100,2782,300,1.52282
0,256,100,2782,300,1.15036
0,256,100,2782,300,1.50183
0,256,100,2782,300,1.13945
0,256,100,2782,300,1.13975
0,256,100,2782,300,1.51829
0,256,100,2782,300,1.14377
0,256,100,2782,300,1.10557
0,256,100,2782,300,1.14709
0,256,100,2782,300,1.51977
0,256,100,2782,300,1.52463
0,256,100,2782,300,1.52294
0,256,100,2782,300,1.14819
0,256,100,2782,300,1.14359
0,256,100,2782,300,1.13882
0,256,100,2782,300,1.11636
0,256,100,2782,300,1.14589
0,256,100,2782,300,1.11824
0,256,100,2782,300,0.794792
0,256,100,2782,300,1.14158
0,256,100,2782,300,1.52039
0,256,100,2782,300,1.14049
0,256,100,2782,300,1.52103
0,256,100,2782,300,1.24324
0,256,100,2782,300,1.149
0,512,100,5367,300,6.82251
0,512,100,5367,300,7.4991
0,512,100,5367,300,6.5206
0,512,100,5367,300,6.52173
0,512,100,5367,300,5.76304
0,512,100,5367,300,5.8151
0,512,100,5367,300,6.96467
0,512,100,5367,300,7.78011
0,512,100,5367,300,6.53236
0,512,100,5367,300,6.50618
0,512,100,5367,300,6.52443
0,512,100,5367,300,7.22355
0,512,100,5367,300,6.80824
0,512,100,5367,300,6.54392
0,512,100,5367,300,6.8354
0,512,100,5367,300,5.83234
0,512,100,5367,300,6.55977
0,512,100,5367,300,6.73834
0,512,100,5367,300,6.80222
0,512,100,5367,300,6.47933
0,512,100,5367,300,6.80888
0,512,100,5367,300,6.47549
0,512,100,5367,300,6.78351
0,512,100,5367,300,6.4911
0,512,100,5367,300,6.49184
0,512,100,5367,300,6.77642
0,512,100,5367,300,6.51879
0,512,100,5367,300,6.50698
0,512,100,5367,300,6.79256
0,512,100,5367,300,6.8491
0,512,100,5367,300,6.77157
0,512,100,5367,300,5.75336
0,512,100,5367,300,6.45481
0,512,100,5367,300,6.43763
0,512,100,5367,300,6.45371
0,512,100,5367,300,6.45165
0,512,100,5367,300,6.49919
0,512,100,5367,300,6.83975
0,512,100,5367,300,6.8945
0,512,100,5367,300,6.50923
0,512,100,5367,300,6.51221
0,512,100,5367,300,6.83522
0,512,100,5367,300,6.48938
0,512,100,5367,300,6.48108
0,512,100,5367,300,6.79282
0,512,100,5367,300,6.4755
0,512,100,5367,300,6.79316
0,512,100,5367,300,5.77983
0,512,100,5367,300,6.79081
0,512,100,5367,300,5.79006
0,1024,100,10543,305,91.5116
0,1024,100,10543,305,87.8961
0,1024,100,10543,305,82.0248
0,1024,100,10543,305,88.2378
0,1024,100,10543,305,79.4238
0,1024,100,10543,305,76.1999
0,1024,100,10543,305,82.8353
0,1024,100,10543,305,80.0251
0,1024,100,10543,305,80.5149
0,1024,100,10543,305,82.4052
0,1024,100,10543,305,81.9418
0,1024,100,10543,305,81.5988
0,1024,100,10543,305,82.691
0,1024,100,10543,305,82.9905
0,1024,100,10543,305,80.4736
0,1024,100,10543,305,82.1517
0,1024,100,10543,305,78.3052
0,1024,100,10543,305,78.2493
0,1024,100,10543,305,77.7233
0,1024,100,10543,305,77.8626
0,1024,100,10543,305,79.1565
0,1024,100,10543,305,78.4976
0,1024,100,10543,305,78.9037
0,1024,100,10543,305,77.34
0,1024,100,10543,305,77.6623
