threads,nx,nt,iters_cg,iters_newton,timespent
4,64,100,1007,301,0.0243071
4,64,100,1007,301,0.0247203
4,64,100,1007,301,0.0241273
4,64,100,1007,301,0.0230526
4,64,100,1007,301,0.025902
4,64,100,1007,301,0.0243131
4,64,100,1007,301,0.0240541
4,64,100,1007,301,0.0238222
4,64,100,1007,301,0.024444
4,64,100,1007,301,0.024664
4,64,100,1007,301,0.0257123
4,64,100,1007,301,0.0256682
4,64,100,1007,301,0.025382
4,64,100,1007,301,0.0222933
4,64,100,1007,301,0.0227507
4,64,100,1007,301,0.0242452
4,64,100,1007,301,0.025877
4,64,100,1007,301,0.0207869
4,64,100,1007,301,0.0249685
4,64,100,1007,301,0.0220524
4,64,100,1007,301,0.0217859
4,64,100,1007,301,0.0221637
4,64,100,1007,301,0.0244795
4,64,100,1007,301,0.0227922
4,64,100,1007,301,0.0241208
4,64,100,1007,301,0.0249665
4,64,100,1007,301,0.0263054
4,64,100,1007,301,0.0241593
4,64,100,1007,301,0.0240973
4,64,100,1007,301,0.0251058
4,64,100,1007,301,0.0252087
4,64,100,1007,301,0.0244986
4,64,100,1007,301,0.0243487
4,64,100,1007,301,0.0241471
4,64,100,1007,301,0.0247813
4,64,100,1007,301,0.0247312
4,64,100,1007,301,0.0217148
4,64,100,1007,301,0.0249687
8,64,100,1007,301,0.0176841
8,64,100,1007,301,0.0203813
8,64,100,1007,301,0.204819
8,64,100,1007,301,0.0226615
8,64,100,1007,301,0.0175431
8,64,100,1007,301,0.0172375
8,64,100,1007,301,0.0195923
8,64,100,1007,301,0.0172211
8,64,100,1007,301,0.0174007
8,64,100,1007,301,0.0165966
8,64,100,1007,301,0.0182165
8,64,100,1007,301,0.0195632
8,64,100,1007,301,0.0174689
8,64,100,1007,301,0.017047
8,64,100,1007,301,0.0166197
8,64,100,1007,301,0.0186125
8,64,100,1007,301,0.0176864
8,64,100,1007,301,0.0171828
8,64,100,1007,301,0.0178285
8,64,100,1007,301,0.0173259
8,64,100,1007,301,0.0166422
8,64,100,1007,301,0.0171915
8,64,100,1007,301,0.0174212
8,64,100,1007,301,0.0172249
8,64,100,1007,301,0.0172536
8,64,100,1007,301,0.0184704
8,64,100,1007,301,0.0165014
8,64,100,1007,301,0.0182109
8,64,100,1007,301,0.0193731
8,64,100,1007,301,0.0177611
8,64,100,1007,301,0.0181777
8,64,100,1007,301,0.0170806
8,64,100,1007,301,0.0182882
8,64,100,1007,301,0.0170762
8,64,100,1007,301,0.0168184
8,64,100,1007,301,0.0173111
