threads,size,iter,theta,time
16,10000,3000,9998.059926,28.873180
16,10000,3000,9998.059926,31.146635
16,10000,3000,9998.059926,29.952422
16,10000,3000,9998.059926,29.153749
16,10000,3000,9998.059926,28.050911
16,10000,3000,9998.059926,26.135365
16,10000,3000,9998.059926,24.782784
16,10000,3000,9998.059926,29.767998
16,10000,3000,9998.059926,24.947206
16,10000,3000,9998.059926,28.749919
16,10000,3000,9998.059926,26.088398
16,10000,3000,9998.059926,21.986875
16,10000,3000,9998.059926,30.713333
16,10000,3000,9998.059926,29.455581
32,10000,3000,9998.059926,13.600967
32,10000,3000,9998.059926,13.348751
32,10000,3000,9998.059926,13.544854
32,10000,3000,9998.059926,13.702047
32,10000,3000,9998.059926,13.727949
32,10000,3000,9998.059926,12.807079
32,10000,3000,9998.059926,13.144796
32,10000,3000,9998.059926,13.633530
32,10000,3000,9998.059926,14.592934
32,10000,3000,9998.059926,12.897774
32,10000,3000,9998.059926,12.956839
32,10000,3000,9998.059926,13.111241
32,10000,3000,9998.059926,13.408524
32,10000,3000,9998.059926,13.952271
32,10000,3000,9998.059926,13.498305
32,10000,3000,9998.059926,13.834745
32,10000,3000,9998.059926,12.810169
32,10000,3000,9998.059926,13.481516
32,10000,3000,9998.059926,13.145071
32,10000,3000,9998.059926,12.660488
32,10000,3000,9998.059926,13.505251
32,10000,3000,9998.059926,12.924941
32,10000,3000,9998.059926,13.207192
32,10000,3000,9998.059926,13.115522
32,10000,3000,9998.059926,13.122215
32,10000,3000,9998.059926,12.902170
32,10000,3000,9998.059926,12.892305
32,10000,3000,9998.059926,13.384918
32,10000,3000,9998.059926,13.884526
32,10000,3000,9998.059926,12.812283
32,10000,3000,9998.059926,13.241064
32,10000,3000,9998.059926,13.440783
32,10000,3000,9998.059926,13.617415
32,10000,3000,9998.059926,13.571532
32,10000,3000,9998.059926,13.160780
32,10000,3000,9998.059926,13.362565
32,10000,3000,9998.059926,13.391500
32,10000,3000,9998.059926,13.336849
32,10000,3000,9998.059926,13.220774
32,10000,3000,9998.059926,13.385959
32,10000,3000,9998.059926,13.295285
32,10000,3000,9998.059926,13.237859
32,10000,3000,9998.059926,13.529572
32,10000,3000,9998.059926,13.268185
32,10000,3000,9998.059926,13.082500
32,10000,3000,9998.059926,13.362775
32,10000,3000,9998.059926,14.205710
32,10000,3000,9998.059926,13.600804
32,10000,3000,9998.059926,13.683921
32,10000,3000,9998.059926,13.290160
64,10000,3000,9998.059926,11.792257
64,10000,3000,9998.059926,11.696625
64,10000,3000,9998.059926,11.866985
64,10000,3000,9998.059926,11.728764
64,10000,3000,9998.059926,11.968421
64,10000,3000,9998.059926,11.529659
64,10000,3000,9998.059926,11.878269
64,10000,3000,9998.059926,11.657443
64,10000,3000,9998.059926,11.788298
64,10000,3000,9998.059926,11.825690
64,10000,3000,9998.059926,11.893101
64,10000,3000,9998.059926,11.595177
64,10000,3000,9998.059926,11.652802
64,10000,3000,9998.059926,11.597899
64,10000,3000,9998.059926,11.784561
64,10000,3000,9998.059926,12.023686
64,10000,3000,9998.059926,11.591701
64,10000,3000,9998.059926,11.827855
64,10000,3000,9998.059926,11.716041
64,10000,3000,9998.059926,11.615114
64,10000,3000,9998.059926,11.676264
64,10000,3000,9998.059926,11.846919
64,10000,3000,9998.059926,11.805226
64,10000,3000,9998.059926,11.917188
64,10000,3000,9998.059926,11.746717
64,10000,3000,9998.059926,11.827148
64,10000,3000,9998.059926,11.631001
64,10000,3000,9998.059926,12.010314
64,10000,3000,9998.059926,11.446646
64,10000,3000,9998.059926,12.020220
64,10000,3000,9998.059926,11.623307
64,10000,3000,9998.059926,11.855534
64,10000,3000,9998.059926,11.742783
64,10000,3000,9998.059926,11.722140
64,10000,3000,9998.059926,11.750676
64,10000,3000,9998.059926,11.676220
64,10000,3000,9998.059926,12.113936
64,10000,3000,9998.059926,11.655684
64,10000,3000,9998.059926,11.824895
64,10000,3000,9998.059926,11.635964
64,10000,3000,9998.059926,12.083105
64,10000,3000,9998.059926,11.646360
64,10000,3000,9998.059926,11.904276
64,10000,3000,9998.059926,11.853821
64,10000,3000,9998.059926,11.894100
64,10000,3000,9998.059926,11.611750
64,10000,3000,9998.059926,11.900922
64,10000,3000,9998.059926,11.763695
64,10000,3000,9998.059926,11.670283
64,10000,3000,9998.059926,11.658888
